Date	Time	Severity	PID	TID	Function	Message
05-03-2025	17:21:33.529	 INFO	 22588	 18800	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:21:33.716	 INFO	 37488	 24924	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:21:33.754	 INFO	 25996	 29056	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:21:34.203	 INFO	 25784	 33456	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:21:34.210	 INFO	 25784	 15608	DllMain	"DLL_PROCESS_DETACH "
05-03-2025	17:21:34.807	 INFO	 30740	  2676	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:25:36.724	 INFO	 35572	 14556	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:25:36.731	 INFO	 35572	 17772	DllMain	"DLL_PROCESS_DETACH "
05-03-2025	17:25:36.806	 INFO	 23036	 15760	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:25:37.419	 INFO	 34988	 30300	DllMain	"DLL_PROCESS_ATTACH "
